,Variacions
1,14.359999999999957
2,13.770000000000039
3,12.309999999999945
4,12.45999999999998
5,12.190000000000055
6,12.019999999999982
7,11.509999999999991
8,12.200000000000045
9,10.569999999999936
10,9.440000000000055
11,9.279999999999973
12,10.270000000000039
13,12.409999999999968
14,17.28000000000003
15,20.749999999999943
16,29.000000000000057
17,21.759999999999934
18,18.32000000000005
19,24.00999999999999
20,18.879999999999995
21,25.250000000000114
22,19.639999999999873
23,26.41999999999996
24,31.930000000000064
25,19.900000000000034
26,10.68999999999994
27,1.1400000000000432
28,5.919999999999959
29,4.7900000000000205
30,5.25
31,3.490000000000009
32,4.420000000000016
33,4.069999999999993
34,2.9399999999999977
35,3.120000000000033
36,4.379999999999939
37,4.78000000000003
38,6.090000000000003
39,9.409999999999968
40,7.849999999999966
41,10.040000000000049
42,12.18999999999997
43,25.500000000000057
44,13.909999999999968
45,14.409999999999997
46,12.990000000000038
47,15.599999999999966
48,13.960000000000036
49,16.700000000000045
50,14.949999999999989
51,72.44000000000003
52,68.46000000000001
53,30.960000000000036
54,30.200000000000045
55,44.26999999999987
56,25.65000000000009
57,23.370000000000005
58,19.580000000000098
59,23.90999999999991
60,20.230000000000018
61,20.78000000000003
62,32.289999999999964
63,32.30000000000001
64,31.940000000000055
65,27.549999999999898
66,18.040000000000134
67,17.709999999999923
68,15.469999999999914
69,14.570000000000107
70,22.089999999999975
71,22.20999999999998
72,18.91999999999996
73,23.180000000000064
74,14.920000000000073
75,8.610000000000014
76,8.589999999999975
77,3.079999999999984
78,2.0500000000000114
79,3.4599999999999227
80,4.130000000000109
81,11.609999999999957
82,4.669999999999959
83,2.849999999999966
84,3.1800000000000637
85,4.310000000000059
86,4.069999999999936
87,4.199999999999932
88,7.139999999999986
89,6.530000000000086
90,7.460000000000036
91,8.27000000000001
92,8.43999999999997
93,7.560000000000031
94,10.710000000000008
95,10.470000000000027
96,8.560000000000002
97,7.640000000000015
98,12.900000000000006
99,13.040000000000049
100,11.289999999999992
101,10.400000000000034
102,10.06000000000006
103,9.829999999999984
104,10.920000000000016
105,11.880000000000024
106,11.690000000000026
107,10.580000000000013
108,10.710000000000008
109,10.0
110,10.440000000000069
111,10.359999999999971
112,10.820000000000093
113,11.929999999999993
114,14.190000000000012
115,11.059999999999988
116,10.460000000000022
117,11.300000000000054
118,28.490000000000023
119,85.64
120,42.400000000000034
121,29.689999999999912
122,34.92999999999992
123,120.13
124,54.30000000000001
125,30.780000000000086
126,24.77999999999986
127,35.470000000000084
128,30.91999999999979
129,19.630000000000223
130,9.980000000000018
131,10.529999999999973
132,9.520000000000039
133,7.64999999999992
134,4.449999999999932
135,7.840000000000032
136,10.250000000000057
137,10.480000000000075
138,12.729999999999848
139,22.319999999999993
140,22.50000000000017
141,26.479999999999848
142,12.92000000000013
143,12.829999999999984
144,3.369999999999891
145,21.01000000000022
146,15.099999999999739
147,15.800000000000125
148,14.21999999999997
149,12.799999999999955
150,15.230000000000075
151,20.099999999999966
152,30.94999999999999
153,22.509999999999934
154,34.32000000000011
155,24.210000000000036
156,20.819999999999936
157,20.45999999999998
158,18.40000000000009
159,15.18999999999994
160,17.060000000000002
161,15.839999999999975
162,14.64999999999992
163,13.620000000000175
164,34.969999999999914
165,87.49999999999983
166,15.390000000000214
